Date,Ticker,Action,Shares,Price,Total
1990-03-23,Stock_14,BUY,100,101.93134195565848,-10193.134195565848
1990-03-26,Stock_02,BUY,100,104.08383941570212,-10408.383941570211
1990-03-26,Stock_03,SELL,100,108.32176500672269,10832.176500672269
1990-03-28,Stock_01,SELL,100,100.3969523377678,10039.69523377678
1990-03-28,Stock_02,SELL,100,102.24312573870262,10224.312573870262
1990-03-28,Stock_03,BUY,100,105.68653323470924,-10568.653323470924
1990-03-28,Stock_10,BUY,200,103.99196392637204,-20798.39278527441
1990-03-28,Stock_14,SELL,100,95.61745137675898,9561.745137675898
1990-04-03,Stock_02,SELL,100,100.00078695331024,10000.078695331023
1990-04-03,Stock_03,BUY,100,99.44521105251924,-9944.521105251924
1990-04-05,Stock_14,BUY,100,88.64692298130957,-8864.692298130958
1990-04-05,Stock_15,SELL,100,95.04593049497797,9504.593049497797
1990-04-09,Stock_06,SELL,100,80.65443665576565,8065.443665576565
1990-04-09,Stock_08,BUY,100,90.91729323611528,-9091.72932361153
1990-04-13,Stock_10,SELL,100,99.81136213739352,9981.136213739352
1990-04-13,Stock_11,BUY,100,91.46453031929252,-9146.453031929252
1990-04-23,Stock_01,BUY,100,83.23157636470079,-8323.157636470078
1990-04-23,Stock_10,SELL,100,98.24363863637409,9824.363863637409
1990-04-25,Stock_02,BUY,100,87.71825876120599,-8771.825876120598
1990-04-25,Stock_03,SELL,100,85.57558802802923,8557.558802802923
1990-04-26,Stock_01,BUY,100,85.43468707344609,-8543.46870734461
1990-04-26,Stock_10,SELL,100,105.0370753163616,10503.707531636159
1990-04-26,Stock_11,SELL,100,92.60672537540223,9260.672537540224
1990-04-26,Stock_14,BUY,100,93.09191477112894,-9309.191477112894
1990-04-30,Stock_01,SELL,100,92.60948120173488,9260.948120173489
1990-04-30,Stock_11,BUY,100,95.8093261730074,-9580.932617300741
1990-05-02,Stock_01,SELL,100,96.1968899124026,9619.68899124026
1990-05-02,Stock_02,BUY,100,92.3032678983316,-9230.32678983316
1990-05-02,Stock_03,SELL,100,96.80997928050576,9680.997928050576
1990-05-02,Stock_10,BUY,100,108.32181650606468,-10832.181650606468
1990-05-04,Stock_10,BUY,200,110.26282321288974,-22052.56464257795
1990-05-04,Stock_11,SELL,100,100.98275751708988,10098.275751708989
1990-05-04,Stock_14,SELL,100,97.43585919049582,9743.585919049581
1990-05-11,Stock_02,SELL,100,90.19752030015796,9019.752030015796
1990-05-11,Stock_03,BUY,100,88.90429025587345,-8890.429025587346
1990-05-15,Stock_10,SELL,100,101.75234280604852,10175.234280604851
1990-05-15,Stock_11,SELL,100,93.61453908571332,9361.453908571331
1990-05-15,Stock_14,BUY,200,88.1418169685789,-17628.36339371578
1990-05-23,Stock_10,BUY,100,109.51626548066852,-10951.626548066852
1990-05-23,Stock_11,SELL,100,102.86403142182068,10286.40314218207
1990-05-29,Stock_10,SELL,100,114.07011575789258,11407.011575789258
1990-05-29,Stock_11,BUY,100,105.52909755959544,-10552.909755959545
1990-05-31,Stock_01,BUY,100,92.77521122911196,-9277.521122911196
1990-05-31,Stock_06,SELL,100,83.20239206330477,8320.239206330478
1990-05-31,Stock_08,BUY,100,92.98570597849448,-9298.570597849448
1990-05-31,Stock_11,SELL,100,103.60305461062713,10360.305461062713
1990-06-01,Stock_02,SELL,100,86.90296517034301,8690.296517034301
1990-06-01,Stock_03,BUY,100,84.18862824214347,-8418.862824214346
1990-06-01,Stock_06,BUY,100,85.74333158770501,-8574.333158770502
1990-06-01,Stock_08,SELL,100,96.66282256684563,9666.282256684563
1990-06-01,Stock_14,BUY,100,88.89948252965151,-8889.94825296515
1990-06-01,Stock_15,SELL,100,88.66591623051599,8866.5916230516
1990-06-04,Stock_10,BUY,100,109.74022846063988,-10974.022846063988
1990-06-04,Stock_11,SELL,100,107.25357776650152,10725.357776650153
1990-06-04,Stock_14,SELL,100,87.93979418941639,8793.979418941639
1990-06-04,Stock_15,BUY,100,89.647463315254,-8964.7463315254
1990-06-06,Stock_01,SELL,100,104.89244823896802,10489.2448238968
1990-06-06,Stock_11,BUY,100,111.08328841895514,-11108.328841895513
1990-06-07,Stock_02,BUY,100,91.03800635838353,-9103.800635838352
1990-06-07,Stock_03,SELL,100,91.1234271715723,9112.34271715723
1990-06-08,Stock_01,SELL,100,104.11258150625262,10411.258150625263
1990-06-08,Stock_10,BUY,100,115.48852771246776,-11548.852771246775
1990-06-12,Stock_06,SELL,100,92.33221412902036,9233.221412902036
1990-06-12,Stock_08,BUY,100,97.07650108199128,-9707.650108199128
1990-06-13,Stock_10,SELL,100,120.93823858896728,12093.823858896729
1990-06-13,Stock_11,BUY,100,115.56243778856134,-11556.243778856135
1990-06-19,Stock_11,BUY,100,115.45043168824569,-11545.043168824568
1990-06-19,Stock_14,SELL,100,94.20314799913646,9420.314799913645
1990-06-26,Stock_10,BUY,100,109.5909429523657,-10959.09429523657
1990-06-26,Stock_14,SELL,100,87.8387271930341,8783.87271930341
1990-06-28,Stock_06,BUY,100,88.00389836931181,-8800.389836931181
1990-06-28,Stock_08,SELL,100,93.12357528911669,9312.357528911669
1990-06-29,Stock_01,BUY,100,100.79811295264214,-10079.811295264215
1990-06-29,Stock_10,SELL,100,109.5909429523657,10959.09429523657
1990-07-05,Stock_10,BUY,100,103.4693691741222,-10346.93691741222
1990-07-05,Stock_11,SELL,100,102.81921599440436,10281.921599440437
1990-07-09,Stock_10,SELL,100,106.97803862623655,10697.803862623656
1990-07-09,Stock_11,BUY,100,104.9020340879258,-10490.20340879258
1990-07-13,Stock_11,BUY,100,105.61869130788504,-10561.869130788504
1990-07-13,Stock_14,SELL,100,90.11175004415834,9011.175004415834
1990-07-16,Stock_10,BUY,100,108.84440257892452,-10884.440257892451
1990-07-16,Stock_14,SELL,100,90.5158348543429,9051.58348543429
1990-07-17,Stock_01,SELL,100,102.80626086038302,10280.626086038303
1990-07-17,Stock_02,BUY,100,94.635140055276,-9463.514005527599
1990-07-17,Stock_03,SELL,100,92.7877940140146,9278.77940140146
1990-07-17,Stock_10,BUY,100,108.39647661898182,-10839.647661898181
1990-07-18,Stock_14,SELL,100,96.9812703210148,9698.12703210148
1990-07-18,Stock_15,BUY,100,90.4653960045717,-9046.53960045717
1990-07-20,Stock_01,SELL,100,106.92010795550718,10692.010795550717
1990-07-20,Stock_11,BUY,100,108.35097594846644,-10835.097594846644
1990-07-27,Stock_01,BUY,200,106.6471289767054,-21329.42579534108
1990-07-27,Stock_10,SELL,100,115.78715080535626,11578.715080535627
1990-07-27,Stock_11,SELL,100,111.86711775854216,11186.711775854217
1990-08-02,Stock_02,SELL,100,100.98749690572949,10098.74969057295
1990-08-02,Stock_03,BUY,100,101.12326170753974,-10112.326170753973
1990-08-03,Stock_06,SELL,100,90.66750507153984,9066.750507153984
1990-08-03,Stock_08,BUY,100,96.2951139330082,-9629.51139330082
1990-08-06,Stock_02,BUY,100,100.00867640928146,-10000.867640928147
1990-08-06,Stock_03,SELL,100,101.82160171322592,10182.160171322592
1990-08-06,Stock_06,BUY,100,90.42215430446176,-9042.215430446176
1990-08-06,Stock_08,SELL,100,96.43301349360712,9643.301349360712
1990-08-07,Stock_01,BUY,200,100.525165031236,-20105.0330062472
1990-08-07,Stock_10,SELL,100,114.21943598372684,11421.943598372683
1990-08-07,Stock_11,SELL,100,111.01607919278426,11101.607919278425
1990-08-08,Stock_03,SELL,100,104.61507498131608,10461.507498131608
1990-08-08,Stock_09,BUY,100,102.57511088272696,-10257.511088272697
1990-08-09,Stock_10,BUY,100,115.8618195976634,-11586.18195976634
1990-08-09,Stock_11,SELL,100,114.33068609070509,11433.06860907051
1990-08-13,Stock_02,SELL,100,101.76379148128024,10176.379148128024
1990-08-13,Stock_03,BUY,200,103.4976831575168,-20699.53663150336
1990-08-13,Stock_09,SELL,100,109.8712862396325,10987.12862396325
1990-08-15,Stock_10,SELL,100,116.90693966704298,11690.693966704297
1990-08-15,Stock_11,BUY,100,115.11453398356366,-11511.453398356367
1990-08-17,Stock_10,SELL,100,118.17604007517392,11817.604007517391
1990-08-17,Stock_11,SELL,100,116.34631351132722,11634.631351132723
1990-08-17,Stock_14,BUY,200,110.6192373363688,-22123.84746727376
1990-08-20,Stock_02,BUY,100,100.04241578727957,-10004.241578727957
1990-08-20,Stock_09,SELL,100,112.87553921953692,11287.553921953691
1990-08-22,Stock_06,SELL,100,93.5413503023066,9354.13503023066
1990-08-22,Stock_08,BUY,100,97.26036044057278,-9726.036044057279
1990-08-23,Stock_10,BUY,100,117.1308939676243,-11713.08939676243
1990-08-23,Stock_11,SELL,100,115.56243778856134,11556.243778856135
1990-08-23,Stock_14,BUY,100,107.99268607016924,-10799.268607016924
1990-08-23,Stock_15,SELL,100,87.76617982568273,8776.617982568272
1990-08-24,Stock_10,SELL,100,118.84792901508798,11884.7929015088
1990-08-24,Stock_11,BUY,100,121.16140696879432,-12116.140696879433
1990-08-27,Stock_10,BUY,100,118.62395735572662,-11862.395735572662
1990-08-27,Stock_11,SELL,100,120.71348461052509,12071.348461052508
1990-08-27,Stock_14,SELL,100,114.66011160612068,11466.011160612068
1990-08-27,Stock_15,BUY,100,87.19360256779815,-8719.360256779815
1990-08-29,Stock_06,BUY,100,95.2937455904559,-9529.37455904559
1990-08-29,Stock_08,SELL,100,99.3287530163008,9932.87530163008
1990-08-30,Stock_01,SELL,100,102.65032167697514,10265.032167697515
1990-08-30,Stock_10,BUY,100,119.96771787677471,-11996.771787677471
1990-08-31,Stock_02,SELL,100,99.4686072868888,9946.86072868888
1990-08-31,Stock_09,BUY,100,106.866972483337,-10686.6972483337
1990-09-03,Stock_01,SELL,100,102.45535111162182,10245.535111162182
1990-09-03,Stock_11,BUY,100,115.898391153058,-11589.8391153058
1990-09-04,Stock_02,SELL,100,94.13572354629054,9413.572354629054
1990-09-04,Stock_03,BUY,100,96.93305180540447,-9693.305180540447
1990-09-04,Stock_10,SELL,100,116.75763679998876,11675.763679998876
1990-09-04,Stock_11,BUY,100,116.12231986396742,-11612.231986396742
1990-09-05,Stock_02,BUY,100,91.9755865168002,-9197.558651680021
1990-09-05,Stock_03,SELL,100,96.93305180540447,9693.305180540447
1990-09-07,Stock_02,BUY,100,97.2409616170994,-9724.09616170994
1990-09-07,Stock_03,SELL,100,106.7101704952716,10671.01704952716
1990-09-07,Stock_06,SELL,100,100.14780127145856,10014.780127145856
1990-09-07,Stock_08,BUY,100,99.05299422840528,-9905.299422840528
1990-09-11,Stock_01,SELL,100,106.86161135085696,10686.161135085697
1990-09-11,Stock_10,BUY,100,116.45902238649028,-11645.902238649027
1990-09-14,Stock_10,BUY,100,113.54753836442278,-11354.753836442278
1990-09-14,Stock_11,SELL,100,117.91400929704436,11791.400929704436
1990-09-19,Stock_06,BUY,100,93.8162580413919,-9381.62580413919
1990-09-19,Stock_08,SELL,100,94.87023919564102,9487.023919564102
1990-09-20,Stock_02,SELL,100,106.32040056919637,10632.040056919637
1990-09-20,Stock_03,BUY,100,111.73838966251188,-11173.838966251187
1990-09-21,Stock_10,SELL,100,114.21943598372684,11421.943598372683
1990-09-21,Stock_11,BUY,100,117.35409939173098,-11735.409939173098
1990-09-26,Stock_01,BUY,100,95.01733002675594,-9501.733002675594
1990-09-26,Stock_11,SELL,100,114.89055888947536,11489.055888947536
1990-09-28,Stock_14,BUY,100,122.13574601430076,-12213.574601430077
1990-09-28,Stock_15,SELL,100,77.62357768891063,7762.357768891063
1990-10-05,Stock_06,BUY,100,93.6179670284674,-9361.796702846741
1990-10-05,Stock_08,SELL,100,102.1785831576398,10217.85831576398
1990-10-08,Stock_01,SELL,100,101.4025131644536,10140.25131644536
1990-10-08,Stock_11,BUY,100,119.25774854194478,-11925.774854194478
1990-10-09,Stock_01,BUY,100,100.70064708083774,-10070.064708083773
1990-10-09,Stock_10,SELL,100,118.17604007517392,11817.604007517391
1990-10-15,Stock_14,BUY,100,135.06660386369137,-13506.660386369136
1990-10-15,Stock_15,SELL,100,89.1566828084958,8915.66828084958
1990-10-16,Stock_02,SELL,100,109.18934345680698,10918.934345680698
1990-10-16,Stock_03,BUY,100,111.04003078260148,-11104.003078260148
1990-10-29,Stock_02,BUY,100,108.67148833291913,-10867.148833291913
1990-10-29,Stock_03,SELL,100,113.69380962564048,11369.380962564048
1990-10-29,Stock_06,SELL,100,98.32322034123614,9832.322034123614
1990-10-29,Stock_08,BUY,100,109.11915798584764,-10911.915798584763
1990-10-29,Stock_14,SELL,100,138.40035588352663,13840.035588352663
1990-10-29,Stock_15,BUY,100,91.2015598003198,-9120.15598003198
1990-10-31,Stock_10,BUY,100,124.37225660755452,-12437.225660755452
1990-10-31,Stock_11,SELL,100,130.11973353791407,13011.973353791407
1990-11-07,Stock_11,SELL,100,132.1353331286289,13213.53331286289
1990-11-07,Stock_15,BUY,100,87.92975939915706,-8792.975939915706
1990-11-09,Stock_06,SELL,100,104.6328871450476,10463.28871450476
1990-11-09,Stock_08,BUY,100,112.06083713987276,-11206.083713987276
1990-11-09,Stock_10,SELL,100,130.0459044258553,13004.59044258553
1990-11-09,Stock_14,BUY,100,139.10750430134962,-13910.750430134962
1990-11-12,Stock_11,BUY,100,130.90358143077262,-13090.358143077261
1990-11-12,Stock_14,SELL,100,140.0167212921712,14001.67212921712
1990-11-16,Stock_14,BUY,100,136.48091378329048,-13648.091378329047
1990-11-16,Stock_15,SELL,100,87.92975939915706,8792.975939915706
1990-11-21,Stock_06,BUY,100,109.42828019615588,-10942.828019615588
1990-11-21,Stock_08,SELL,100,117.4386880867424,11743.86880867424
1990-11-26,Stock_11,BUY,100,128.77597573974214,-12877.597573974213
1990-11-26,Stock_14,SELL,100,139.10750430134962,13910.750430134962
1990-11-29,Stock_06,SELL,100,106.61596138851796,10661.596138851795
1990-11-29,Stock_08,BUY,100,107.78617259446892,-10778.617259446892
1990-12-03,Stock_14,SELL,100,136.58193498583665,13658.193498583665
1990-12-03,Stock_15,BUY,100,83.18563837088729,-8318.563837088728
1990-12-05,Stock_06,BUY,100,107.19285571389116,-10719.285571389117
1990-12-05,Stock_08,SELL,100,113.20993292269326,11320.993292269326
1990-12-11,Stock_06,BUY,100,107.8057649060438,-10780.57649060438
1990-12-11,Stock_08,SELL,100,120.10457820289528,12010.457820289528
1990-12-12,Stock_14,BUY,100,133.65229394409226,-13365.229394409227
1990-12-12,Stock_15,SELL,100,81.18164930804267,8118.164930804267
1990-12-18,Stock_11,BUY,100,125.4165997975838,-12541.65997975838
1990-12-18,Stock_14,SELL,200,137.0870409985673,27417.408199713456
1990-12-18,Stock_15,BUY,100,80.813581338947,-8081.358133894701
1990-12-20,Stock_10,BUY,100,119.37048037038775,-11937.048037038776
1990-12-20,Stock_14,SELL,100,135.87478656801366,13587.478656801366
1990-12-21,Stock_01,BUY,100,103.7226248468482,-10372.262484684821
1990-12-21,Stock_11,SELL,100,127.54421476525008,12754.421476525007
1990-12-24,Stock_10,BUY,100,119.4451491626949,-11944.51491626949
1990-12-24,Stock_11,SELL,200,128.21608438770028,25643.216877540057
1990-12-24,Stock_14,BUY,100,133.34923033645384,-13334.923033645384
1990-12-25,Stock_10,SELL,100,118.4746544886724,11847.46544886724
1990-12-25,Stock_14,BUY,200,128.70221576747198,-25740.443153494398
1990-12-25,Stock_15,SELL,100,79.79113936084039,7979.113936084039
1990-12-28,Stock_02,SELL,100,100.83898188164522,10083.898188164523
1990-12-28,Stock_03,BUY,100,97.4917603001203,-9749.176030012031
1990-12-31,Stock_01,SELL,100,98.14656450854,9814.656450854
1990-12-31,Stock_11,BUY,100,118.13796583786112,-11813.796583786112
1990-12-31,Stock_14,BUY,100,122.13574601430076,-12213.574601430077
1990-12-31,Stock_15,SELL,100,76.56022688865704,7656.022688865704
1991-01-03,Stock_14,SELL,100,129.308356066702,12930.8356066702
1991-01-03,Stock_15,BUY,100,80.0365296142195,-8003.652961421951
1991-01-07,Stock_10,SELL,100,117.05625989287722,11705.625989287722
1991-01-07,Stock_11,BUY,100,124.96867743931458,-12496.867743931458
1991-01-10,Stock_06,SELL,100,108.77929049153362,10877.929049153361
1991-01-10,Stock_08,BUY,100,125.20664011189264,-12520.664011189265
1991-01-14,Stock_02,BUY,100,106.48436577789089,-10648.436577789089
1991-01-14,Stock_03,SELL,100,103.81494628427237,10381.494628427237
1991-01-15,Stock_01,BUY,100,104.19054333360766,-10419.054333360766
1991-01-15,Stock_11,SELL,100,131.52782480516746,13152.782480516746
1991-01-21,Stock_10,BUY,100,122.71525690083112,-12271.525690083112
1991-01-21,Stock_11,SELL,100,133.3689865368185,13336.898653681852
1991-01-22,Stock_10,SELL,100,124.4982292742459,12449.82292742459
1991-01-22,Stock_11,BUY,100,135.7855130489797,-13578.55130489797
1991-01-28,Stock_10,SELL,100,124.03311812207164,12403.311812207165
1991-01-28,Stock_11,SELL,100,134.7498323248084,13474.983232480841
1991-01-28,Stock_14,BUY,200,135.36968055528297,-27073.936111056595
1991-01-31,Stock_01,BUY,100,98.5364978748977,-9853.64978748977
1991-01-31,Stock_10,SELL,100,124.4982292742459,12449.82292742459
1991-02-01,Stock_14,SELL,100,137.7942286682498,13779.422866824978
1991-02-01,Stock_15,BUY,100,81.76079398494063,-8176.079398494064
1991-02-05,Stock_10,BUY,100,119.22682778623393,-11922.682778623393
1991-02-05,Stock_15,SELL,100,82.05280385960879,8205.28038596088
1991-02-06,Stock_01,SELL,100,103.39118808514074,10339.118808514075
1991-02-06,Stock_10,BUY,100,120.0795431377401,-12007.954313774011
1991-02-08,Stock_10,SELL,100,119.69196497657823,11969.196497657824
1991-02-08,Stock_11,BUY,100,130.60723930102407,-13060.723930102407
1991-02-08,Stock_14,BUY,100,124.8197096670788,-12481.97096670788
1991-02-08,Stock_15,SELL,100,89.10259039759768,8910.259039759769
1991-02-11,Stock_02,BUY,100,104.26950062831747,-10426.950062831747
1991-02-11,Stock_03,SELL,100,107.89440223853332,10789.440223853331
1991-02-11,Stock_06,SELL,100,107.391187755372,10739.1187755372
1991-02-11,Stock_08,BUY,100,121.11583492507032,-12111.583492507032
1991-02-19,Stock_01,SELL,100,103.00125471878306,10300.125471878306
1991-02-19,Stock_10,BUY,100,121.08734183005112,-12108.734183005112
1991-02-21,Stock_06,BUY,100,106.73837418929624,-10673.837418929625
1991-02-21,Stock_08,SELL,100,120.70216649325027,12070.216649325028
1991-02-25,Stock_02,SELL,100,103.24721839398768,10324.721839398768
1991-02-25,Stock_03,BUY,100,110.14512831421156,-11014.512831421156
1991-02-26,Stock_11,BUY,100,126.00434888685008,-12600.434888685008
1991-02-26,Stock_14,SELL,200,123.5578539699985,24711.5707939997
1991-02-26,Stock_15,BUY,100,86.68314766155659,-8668.31476615566
1991-02-28,Stock_10,SELL,100,123.56799829050736,12356.799829050737
1991-02-28,Stock_11,BUY,100,126.6947903341166,-12669.47903341166
1991-03-05,Stock_01,SELL,100,109.10902543445415,10910.902543445416
1991-03-05,Stock_06,BUY,100,104.3107883604283,-10431.07883604283
1991-03-05,Stock_08,SELL,100,121.24912640588028,12124.912640588027
1991-03-05,Stock_11,BUY,100,127.27012728471942,-12727.012728471942
1991-03-11,Stock_01,SELL,100,106.16835593017676,10616.835593017677
1991-03-11,Stock_06,SELL,100,103.94021023360511,10394.021023360512
1991-03-11,Stock_08,BUY,100,119.90560393927296,-11990.560393927297
1991-03-11,Stock_10,BUY,100,118.60666801081489,-11860.666801081488
1991-03-14,Stock_02,BUY,100,99.87380855019792,-9987.380855019792
1991-03-14,Stock_03,SELL,100,113.0992212306334,11309.922123063341
1991-03-15,Stock_10,BUY,100,113.87790198659955,-11387.790198659955
1991-03-15,Stock_11,SELL,100,117.25882834234868,11725.882834234868
1991-03-27,Stock_10,BUY,100,108.45147791351285,-10845.147791351284
1991-03-27,Stock_11,BUY,100,112.65594720481047,-11265.594720481047
1991-03-27,Stock_14,SELL,300,115.14539542977516,34543.61862893255
1991-03-27,Stock_15,BUY,100,73.25101378872453,-7325.101378872453
1991-03-28,Stock_02,SELL,100,105.98850550095308,10598.850550095309
1991-03-28,Stock_03,BUY,100,119.14802003410824,-11914.802003410825
1991-04-03,Stock_01,BUY,200,106.47255535592552,-21294.511071185105
1991-04-03,Stock_10,SELL,100,117.28881546896436,11728.881546896437
1991-04-03,Stock_11,SELL,100,117.25882834234868,11725.882834234868
1991-04-04,Stock_10,SELL,100,119.22682778623393,11922.682778623393
1991-04-04,Stock_11,BUY,100,118.63969268361016,-11863.969268361016
1991-04-08,Stock_01,BUY,100,94.21300559498982,-9421.300559498983
1991-04-08,Stock_10,SELL,100,114.0329419304543,11403.29419304543
1991-04-09,Stock_01,BUY,100,95.20672578959544,-9520.672578959544
1991-04-09,Stock_11,SELL,100,111.8274044808006,11182.74044808006
1991-04-17,Stock_06,BUY,100,103.95873872966072,-10395.873872966073
1991-04-17,Stock_08,SELL,100,120.9132609142168,12091.32609142168
1991-04-17,Stock_10,SELL,100,117.52136236566147,11752.136236566148
1991-04-17,Stock_14,BUY,100,121.1392721396843,-12113.927213968429
1991-04-18,Stock_01,SELL,100,98.9991909548441,9899.919095484409
1991-04-18,Stock_14,BUY,100,120.6135065648735,-12061.35065648735
1991-04-19,Stock_06,SELL,100,104.5331877530744,10453.31877530744
1991-04-19,Stock_08,BUY,100,120.04961399517192,-12004.961399517193
1991-04-22,Stock_14,BUY,100,118.93100177287566,-11893.100177287566
1991-04-22,Stock_15,SELL,100,73.1675734417475,7316.757344174751
1991-04-24,Stock_02,BUY,100,105.6461210423844,-10564.61210423844
1991-04-24,Stock_03,BUY,100,116.75665582216656,-11675.665582216656
1991-04-24,Stock_09,SELL,200,111.52627295011489,22305.254590022978
1991-04-25,Stock_10,SELL,100,114.73063469688576,11473.063469688575
1991-04-25,Stock_14,BUY,100,114.8299282345168,-11482.99282345168
1991-04-26,Stock_06,BUY,100,98.52919189991265,-9852.919189991264
1991-04-26,Stock_08,SELL,100,117.50651861790276,11750.651861790275
1991-05-02,Stock_01,SELL,100,82.36918236747421,8236.91823674742
1991-05-02,Stock_06,SELL,100,91.46886662880004,9146.886662880004
1991-05-02,Stock_08,BUY,100,105.70313903000223,-10570.313903000224
1991-05-02,Stock_10,BUY,100,99.76913690496598,-9976.913690496598
1991-05-02,Stock_11,SELL,100,94.35938800178482,9435.938800178483
1991-05-02,Stock_14,BUY,100,91.38026547341012,-9138.026547341013
1991-05-06,Stock_01,SELL,100,79.77327324762527,7977.327324762527
1991-05-06,Stock_11,BUY,100,91.11435587215682,-9111.435587215683
1991-05-07,Stock_10,BUY,100,93.0248342518587,-9302.48342518587
1991-05-07,Stock_11,SELL,100,85.42978189701635,8542.978189701635
1991-05-08,Stock_01,BUY,100,72.44190325931838,-7244.190325931838
1991-05-08,Stock_02,BUY,100,87.97562237796372,-8797.562237796372
1991-05-08,Stock_03,SELL,100,99.73549033001142,9973.549033001142
1991-05-08,Stock_10,SELL,100,96.51327204584592,9651.327204584592
1991-05-14,Stock_03,SELL,100,99.73549033001142,9973.549033001142
1991-05-14,Stock_06,BUY,100,90.41257823940556,-9041.257823940556
1991-05-14,Stock_08,SELL,100,115.53929204769452,11553.92920476945
1991-05-14,Stock_09,BUY,100,99.85491915752375,-9985.491915752375
1991-05-17,Stock_02,SELL,100,80.20199298416182,8020.199298416182
1991-05-17,Stock_03,BUY,100,88.05983229748445,-8805.983229748445
1991-05-21,Stock_02,SELL,100,79.4143523349353,7941.43523349353
1991-05-21,Stock_09,BUY,100,89.48036641478397,-8948.036641478397
1991-05-21,Stock_10,SELL,100,93.72251833890016,9372.251833890015
1991-05-21,Stock_11,BUY,100,83.72673071874446,-8372.673071874446
1991-05-23,Stock_01,BUY,100,68.06132748626098,-6806.132748626098
1991-05-23,Stock_11,SELL,100,83.03628927147795,8303.628927147796
1991-05-23,Stock_14,SELL,100,82.49458651436944,8249.458651436944
1991-05-23,Stock_15,BUY,100,48.13876002253955,-4813.876002253955
1991-05-24,Stock_11,BUY,100,84.69332833631886,-8469.332833631886
1991-05-24,Stock_14,SELL,100,84.75543474705447,8475.543474705446
1991-05-28,Stock_10,BUY,100,99.76913690496598,-9976.913690496598
1991-05-28,Stock_14,SELL,100,91.9586154560739,9195.86154560739
1991-05-29,Stock_11,BUY,100,87.31697429536995,-8731.697429536995
1991-05-29,Stock_14,SELL,100,92.22147861754952,9222.147861754953
1991-06-04,Stock_01,BUY,100,65.27274604833462,-6527.274604833463
1991-06-04,Stock_11,SELL,100,80.48167075920915,8048.1670759209155
1991-06-10,Stock_06,SELL,100,84.07843379886522,8407.843379886523
1991-06-10,Stock_08,BUY,100,107.33447994189584,-10733.447994189584
1991-06-10,Stock_10,BUY,100,86.51310453361862,-8651.31045336186
1991-06-10,Stock_11,SELL,100,78.20324552379132,7820.324552379132
1991-06-11,Stock_11,SELL,100,84.39412900275238,8439.412900275238
1991-06-11,Stock_14,BUY,100,86.64823137662813,-8664.823137662814
1991-06-12,Stock_01,SELL,100,57.18082702738796,5718.082702738796
1991-06-12,Stock_02,SELL,100,83.69497490465663,8369.497490465663
1991-06-12,Stock_09,BUY,100,91.20947753119614,-9120.947753119613
1991-06-12,Stock_10,BUY,100,93.17986551632346,-9317.986551632346
1991-06-18,Stock_10,BUY,100,86.82318442132815,-8682.318442132815
1991-06-18,Stock_11,SELL,100,82.39186921427823,8239.186921427823
1991-06-19,Stock_06,SELL,100,83.05912034446919,8305.91203444692
1991-06-19,Stock_08,BUY,100,102.20045389081756,-10220.045389081755
1991-06-19,Stock_14,BUY,100,80.07601776800843,-8007.601776800842
1991-06-19,Stock_15,SELL,100,44.09243248773345,4409.243248773345
1991-06-20,Stock_03,SELL,100,95.01224087813462,9501.224087813462
1991-06-20,Stock_09,BUY,100,83.86083695471991,-8386.08369547199
